pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
KC,2025-03-20,81.4,-2.99,6.05,"Gallen, Zac",609280,668678,,called_strike,,,,,9.0,"Miguel Andujar grounds out, shortstop Garrett Hampson to first baseman Pavin Smith.",S,R,R,AZ,ATH,S,,,2,1,2025,0.37,-0.66,0.45,1.63,,669127.0,,2,1,Top,,,,,,,6.970549096353707,-118.33470091499244,-2.0331009016817165,2.086706252490819,23.229064619074844,-38.15439314929274,3.21,1.62,,,,80.7,2477.0,5.9,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.57,,,,,,,,4,4,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,41.0,0.0,-0.061,,,,0.061,,0,0,0.515,0.485,29,30,30,30,1,0,,,,,4.11,-0.37,-0.37,,,,,,
KC,2025-03-20,81.1,-3.02,6.02,"Gallen, Zac",609280,668678,,ball,,,,,14.0,"Miguel Andujar grounds out, shortstop Garrett Hampson to first baseman Pavin Smith.",S,R,R,AZ,ATH,B,,,2,2,2025,0.12,-0.78,0.26,1.1,,669127.0,,2,1,Top,,,,,,,7.054933600081694,-117.8571378560539,-2.847525383432063,-0.2073722070944816,22.80624459470739,-39.09294275456116,3.21,1.62,,,,80.5,2421.0,6.0,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.51,,,,,,,,4,5,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,33.0,0.0,0.053,,,,-0.053,,0,0,0.515,0.485,29,30,30,30,1,0,,,,,4.26,-0.12,-0.12,,,,,,
CH,2025-03-20,86.2,-3.03,5.97,"Gallen, Zac",609280,668678,,foul,,,,,13.0,"Miguel Andujar grounds out, shortstop Garrett Hampson to first baseman Pavin Smith.",S,R,R,AZ,ATH,S,,,3,2,2025,-1.07,0.3,-0.95,1.53,,669127.0,,2,1,Top,,,,,,,7.071022882013927,-125.3939410342261,-4.943883671970041,-12.704825046521451,23.54134458722066,-28.23442787171377,3.21,1.62,4.0,95.3,-27.0,85.9,1635.0,5.9,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.55,,,,,,,,4,6,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,228.0,0.0,0.0,76.4,8.3,,0.0,95.3,0,0,0.515,0.485,29,30,30,30,1,0,,,,,2.75,1.07,1.07,,13.87640372680502,-31.56296096970362,33.04460241755397,28.12640757102308,41.54568159296086
FF,2025-03-20,93.3,-2.71,6.09,"Gallen, Zac",609280,668678,field_out,hit_into_play,,,,,14.0,"Miguel Andujar grounds out, shortstop Garrett Hampson to first baseman Pavin Smith.",S,R,R,AZ,ATH,X,6.0,ground_ball,3,2,2025,-0.78,1.47,0.98,1.97,,669127.0,,2,1,Top,115.21,152.63,,,,,11.180933654221024,-135.2560489446035,-8.061610971650515,-11.889997362736274,26.498524657732805,-12.495503366555967,3.21,1.62,3.0,90.0,-35.0,93.4,2481.0,6.4,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.14,0.046,,0.0,,0.0,0.0,2.0,4,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215.0,0.032,-0.274,66.7,7.8,0.047,0.274,90.0,0,0,0.515,0.485,29,30,30,30,1,0,,,,,1.15,0.78,0.78,,4.445086111200451,13.614675735327726,23.25976598415092,49.773053669792105,21.538933180392192
SL,2025-03-20,87.7,-2.99,6.2,"Gallen, Zac",691016,668678,,ball,,,,,12.0,"Tyler Soderstrom grounds out, first baseman Pavin Smith to pitcher Zac Gallen.",S,L,R,AZ,ATH,B,,,0,0,2025,0.24,0.85,0.94,3.12,,,,0,2,Top,,,,,,,8.940690653040663,-127.45442101990255,-3.096200831233882,0.9556639612100878,24.5403371395906,-22.408964139136145,3.29,1.66,,,,87.4,2392.0,6.0,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.46,,,,,,,,12,1,Slider,2,0,0,2,0,2,0,2,Standard,Standard,211.0,0.0,0.042,,,,-0.042,,2,-2,0.706,0.294,29,23,30,24,1,0,,,,,2.1,-0.24,0.24,,,,,,
KC,2025-03-20,79.1,-3.08,6.11,"Gallen, Zac",691016,668678,,swinging_strike,,,,,4.0,"Tyler Soderstrom grounds out, first baseman Pavin Smith to pitcher Zac Gallen.",S,L,R,AZ,ATH,S,,,1,0,2025,0.32,-0.91,-0.49,2.18,,,,0,2,Top,,,,,,,5.0261432014752,-115.21242902575575,-0.1164541772342186,1.8853220698238933,21.17947716584332,-40.46473306792492,3.29,1.66,,,,78.5,2289.0,5.8,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.74,,,,,,,,12,2,Knuckle Curve,2,0,0,2,0,2,0,2,Standard,Standard,45.0,0.0,-0.049,77.1,8.2,,0.049,,2,-2,0.706,0.294,29,23,30,24,1,0,,,,,4.54,-0.32,0.32,,20.61321067484113,-9.587939255544711,31.55945030446292,45.45913064790979,38.091570761563176
FF,2025-03-20,90.2,-2.93,6.17,"Gallen, Zac",691016,668678,,ball,,,,,12.0,"Tyler Soderstrom grounds out, first baseman Pavin Smith to pitcher Zac Gallen.",S,L,R,AZ,ATH,B,,,1,1,2025,-0.49,1.43,1.21,2.71,,,,0,2,Top,,,,,,,11.223051524594336,-130.80265570427872,-5.616589735040862,-8.024283684922073,27.89475521084551,-14.64366196582252,3.29,1.66,,,,89.3,2201.0,6.0,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.52,,,,,,,,12,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,206.0,0.0,0.053,,,,-0.053,,2,-2,0.706,0.294,29,23,30,24,1,0,,,,,1.39,0.49,-0.49,,,,,,
SL,2025-03-20,88.2,-3.06,6.2,"Gallen, Zac",691016,668678,field_out,hit_into_play,,,,,2.0,"Tyler Soderstrom grounds out, first baseman Pavin Smith to pitcher Zac Gallen.",S,L,R,AZ,ATH,X,3.0,ground_ball,2,1,2025,0.35,0.87,-0.12,2.98,,,,0,2,Top,143.47,177.75,,,,,6.398916196415274,-128.31255333278727,-3.547342261372447,2.5970175858566407,25.397263853506065,-22.039691251588444,3.29,1.66,2.0,60.4,-52.0,87.8,2390.0,6.0,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.52,0.234,,0.0,,0.0,0.0,2.0,12,4,Slider,2,0,0,2,0,2,0,2,Standard,Standard,180.0,0.023,-0.306,68.2,7.5,0.234,0.306,88.0,2,-2,0.706,0.294,29,23,30,24,1,0,,,,,2.05,-0.35,0.35,,21.653124014686483,2.7922126242255096,24.807130798498896,40.23966593745397,26.55042749959724
FF,2025-03-20,92.1,-2.57,6.12,"Gallen, Zac",570482,668678,,ball,,,,,14.0,Gio Urshela walks.,S,R,R,AZ,ATH,B,,,0,0,2025,-0.66,1.55,0.96,1.87,,,,1,2,Top,,,,,,,10.39205906163648,-133.5886379051364,-8.282351268149952,-10.17840789143366,29.23446676272946,-11.926953836656043,3.23,1.63,,,,91.9,2419.0,6.4,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.12,,,,,,,,13,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,206.0,0.0,0.039,,,,-0.039,,2,-2,0.729,0.271,29,33,30,34,1,0,,,,,1.16,0.66,0.66,,,,,,
FF,2025-03-20,93.3,-2.59,6.11,"Gallen, Zac",570482,668678,,ball,,,,,14.0,Gio Urshela walks.,S,R,R,AZ,ATH,B,,,1,0,2025,-0.51,1.68,0.54,1.5,,,,1,2,Top,,,,,,,9.144266082582996,-135.2392684321822,-9.719732903984166,-8.306505653712303,30.573376344928896,-9.538752257026108,3.23,1.63,,,,92.9,2465.0,6.4,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.12,,,,,,,,13,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,203.0,0.0,0.069,,,,-0.069,,2,-2,0.729,0.271,29,33,30,34,1,0,,,,,0.97,0.51,0.51,,,,,,
